,property_id,location_id,page_url,property_type,price,price_in_lac,location,city,province_name,latitude,longitude,baths,purpose,bedrooms,date_added,agency,agent,Total_Area
20530,12779404,3394,https://www.zameen.com/Property/ghauri_town_ghauri_town_phase_4_5_marla_double_storey_house_for_sale-12779404-3394-1.html,House,10500000,105,Ghauri Town,Islamabad,Islamabad Capital,33.61855,73.135471,4,For Sale,4,5/5/2019,Dreams World,Chaudhry Imran Khan,1361.255
20531,12783369,339,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_sns_solutions_offers_furnished_aesthetically_designed_corner_house-12783369-339-1.html,House,52400000,524,DHA Defence,Islamabad,Islamabad Capital,33.527944,73.161392,7,For Sale,6,2/16/2019,SnS Solutions,Mohsin,5445
20532,12784390,1144,https://www.zameen.com/Property/islamabad_tarlai_10_marla_house_for_sale-12784390-1144-1.html,House,11000000,110,Tarlai,Islamabad,Islamabad Capital,33.640278,73.15392,3,For Sale,3,11/6/2018,,,2722.51
20534,12784820,3337,https://www.zameen.com/Property/g_13_g_13_1_full_house_for_sale_25x40_g_13_1_islamabad-12784820-3337-1.html,House,15500000,155,G-13,Islamabad,Islamabad Capital,33.645957,72.962472,3,For Sale,3,11/6/2018,,,1089.004
20535,12785347,3196,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_a_sector_road_17_marla_for_sale_dha_phase_2_islamabad-12785347-3196-1.html,House,39000000,390,DHA Defence,Islamabad,Islamabad Capital,33.528946,73.142509,6,For Sale,6,11/6/2018,AL Farrukh Real Estate & Builders,Malik Taimoor Ahmed,4628.267
20536,12785501,338,https://www.zameen.com/Property/islamabad_soan_garden_brand_new_8_marla_triangular_shaped_house_for_sale_in_soan_garden_on_main_road_1_min_drive_to_main_highway-12785501-338-1.html,House,12000000,120,Soan Garden,Islamabad,Islamabad Capital,33.564427,73.157101,5,For Sale,4,11/6/2018,,,2178.008
20537,12785584,12944,https://www.zameen.com/Property/islamabad_pindorian_beautiful_house_is_available_for_sale-12785584-12944-1.html,House,5900000,59,Pindorian,Islamabad,Islamabad Capital,33.64595,73.117622,5,For Sale,4,11/6/2018,,,1361.255
20538,12785991,166,https://www.zameen.com/Property/islamabad_f_8_beautiful_1_kanal_house_is_up_for_sale_in_f_8_islamabad-12785991-166-1.html,House,125000000,1250,F-8,Islamabad,Islamabad Capital,33.713131,73.038383,10,For Sale,11,11/6/2018,,,5445
20539,12786359,170,https://www.zameen.com/Property/islamabad_g_8_brand_new_house_for_sale-12786359-170-1.html,House,23500000,235,G-8,Islamabad,Islamabad Capital,33.697423,73.049555,4,For Sale,4,2/4/2019,,,816.753
20540,12786832,8566,https://www.zameen.com/Property/islamabad_green_avenue_6_marla_triple_storey_house_for_sale-12786832-8566-1.html,House,16000000,160,Green Avenue,Islamabad,Islamabad Capital,33.668941,73.151413,6,For Sale,5,11/6/2018,,,1633.506
20541,12795379,331,https://www.zameen.com/Property/islamabad_national_police_foundation_o_9_1_kanal_beautiful_bungalow_is_available_for_sale-12795379-331-1.html,House,22000000,220,National Police Foundation O-9,Islamabad,Islamabad Capital,33.570792,73.13251,6,For Sale,4,11/6/2018,,,5445
20543,12796754,156,https://www.zameen.com/Property/islamabad_bhara_kahu_10_marla_double_storey_house_for_sale_prince_road_bhara_kahu_islamabad-12796754-156-1.html,House,10500000,105,Bhara kahu,Islamabad,Islamabad Capital,33.73740387,73.17916107,6,For Sale,6,6/19/2019,Hafeez Real Estate,Hafeez Ullah,2722.51
20550,12797824,1297,https://www.zameen.com/Property/islamabad_new_shakrial_residential_house-12797824-1297-1.html,House,5600000,56,New Shakrial,Islamabad,Islamabad Capital,33.640419,73.110943,3,For Sale,2,11/6/2018,,,1361.255
20554,12806147,8399,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_j_5_marla_brand_new_house-12806147-8399-1.html,House,16000000,160,DHA Defence,Islamabad,Islamabad Capital,33.536959,73.175418,4,For Sale,4,1/5/2019,Aitemaad Property,M Shoaib,1361.255
20555,12807100,173,https://www.zameen.com/Property/islamabad_i_10_house_is_available_for_sale_in_i__10-12807100-173-1.html,House,17500000,175,I-10,Islamabad,Islamabad Capital,33.648922,73.038969,4,For Sale,5,11/6/2018,,,1633.506
20556,12807642,3421,https://www.zameen.com/Property/i_10_i_10_2_25x60_house_is_available_for_sale-12807642-3421-1.html,House,17500000,175,I-10,Islamabad,Islamabad Capital,33.649779,73.029385,4,For Sale,5,11/6/2018,,,1633.506
20557,12808093,424,https://www.zameen.com/Property/islamabad_pwd_housing_scheme_6_marla_double_storey_brand_new_house_in_block_c_pwd-12808093-424-1.html,House,13500000,135,PWD Housing Scheme,Islamabad,Islamabad Capital,33.570793,73.145256,4,For Sale,4,11/6/2018,,,1633.506
20778,12811964,616,https://www.zameen.com/Property/islamabad_b_17_villa__is_available_for_sale-12811964-616-1.html,House,16500000,165,B-17,Islamabad,Islamabad Capital,33.68064,72.822189,5,For Sale,4,6/19/2019,Dasti Assiciates,Dasti Associates,2178.008
20788,12813609,3291,https://www.zameen.com/Property/f_15_f_15_1_house_for_sale-12813609-3291-1.html,House,35000000,350,F-15,Islamabad,Islamabad Capital,33.639383,72.918105,8,For Sale,6,11/6/2018,,,65340
20790,12815213,340,https://www.zameen.com/Property/islamabad_bani_gala_house_for_sale-12815213-340-1.html,House,12000000,120,Bani Gala,Islamabad,Islamabad Capital,33.713488,73.16268,4,For Sale,4,11/6/2018,,,2722.51
20793,12820989,3421,https://www.zameen.com/Property/i_10_i_10_2_house_is_available_for_sale-12820989-3421-1.html,House,20000000,200,I-10,Islamabad,Islamabad Capital,33.649779,73.029385,5,For Sale,4,11/6/2018,,,1633.506
20794,12821004,3394,https://www.zameen.com/Property/ghauri_town_ghauri_town_phase_4_5_marla_brand_new_house_for_sale-12821004-3394-1.html,House,7000000,70,Ghauri Town,Islamabad,Islamabad Capital,33.61855,73.135471,3,For Sale,2,11/6/2018,,,1361.255
20795,12821860,3390,https://www.zameen.com/Property/ghauri_town_ghauri_town_phase_1_10_marla_house_is_available_for_sale-12821860-3390-1.html,House,12000000,120,Ghauri Town,Islamabad,Islamabad Capital,33.623947,73.126588,4,For Sale,5,11/6/2018,,,30219.861
20797,12825208,330,https://www.zameen.com/Property/islamabad_g_13_g_13_1_brand_new_house_for_sale-12825208-330-1.html,House,16000000,160,G-13,Islamabad,Islamabad Capital,33.650065,72.963681,5,For Sale,4,11/6/2018,,,1089.004
20798,12830076,3332,https://www.zameen.com/Property/g_11_g_11_3_house_is_available_for_sale-12830076-3332-1.html,House,67500000,675,G-11,Islamabad,Islamabad Capital,33.675604,73.000367,7,For Sale,6,11/6/2018,,,38659.642
20800,12835542,3233,https://www.zameen.com/Property/e_11_e_11_2_owners_built_16_marla_house_for_sale_in_e_11-12835542-3233-1.html,House,47500000,475,E-11,Islamabad,Islamabad Capital,33.69996,72.970116,6,For Sale,6,4/5/2019,Legend Estates,Ali Sial,38659.642
20801,12836803,616,https://www.zameen.com/Property/islamabad_b_17_spanish_villa_for_sale-12836803-616-1.html,House,14000000,140,B-17,Islamabad,Islamabad Capital,33.68064,72.822189,7,For Sale,5,11/6/2018,,,2178.008
20802,12838192,1314,https://www.zameen.com/Property/islamabad_ghauri_town_10__marla_house__for_sale-12838192-1314-1.html,House,12000000,120,Ghauri Town,Islamabad,Islamabad Capital,33.619337,73.125315,4,For Sale,5,11/6/2018,,,2722.51
20803,12839785,453,https://www.zameen.com/Property/islamabad_gulshan_e_khudadad_corner_house_for_urgent_sale-12839785-453-1.html,House,12500000,125,Gulshan-e-Khudadad,Islamabad,Islamabad Capital,33.626837,72.98273,4,For Sale,4,11/6/2018,,,1361.255
20804,12840316,8121,https://www.zameen.com/Property/islamabad_tarnol_house_for_sale-12840316-8121-1.html,House,5600000,56,Tarnol,Islamabad,Islamabad Capital,33.650065,72.90699,3,For Sale,3,11/6/2018,,,2178.008
20805,12841054,3395,https://www.zameen.com/Property/ghauri_town_ghauri_town_phase_5_house_for_sale_in_ghauri_town_phase_5-12841054-3395-1.html,House,11500000,115,Ghauri Town,Islamabad,Islamabad Capital,33.613118,73.130908,6,For Sale,4,11/6/2018,,,1361.255
20807,12848542,1314,https://www.zameen.com/Property/islamabad_ghauri_town_4_marla_single_storey_house_for_sale_in__phase_5_house_no__718_street_no_10f-12848542-1314-1.html,House,5500000,55,Ghauri Town,Islamabad,Islamabad Capital,33.619337,73.125315,3,For Sale,4,11/6/2018,,,1089.004
20809,12850363,174,https://www.zameen.com/Property/islamabad_i_8_house_for_sale_very_good_location-12850363-174-1.html,House,55000000,550,I-8,Islamabad,Islamabad Capital,33.668497,73.07416,7,For Sale,6,11/6/2018,,,3811.514
20811,12850624,1314,https://www.zameen.com/Property/islamabad_ghauri_town_ghauri_garden_st_no_14_house__no_220__for_sale-12850624-1314-1.html,House,9300000,93,Ghauri Town,Islamabad,Islamabad Capital,33.619335,73.12531,6,For Sale,5,11/6/2018,,,1361.255
20812,12850831,10605,https://www.zameen.com/Property/bahria_garden_city_bahria_garden_city_zone_1_brand_new_luxury_villa_owner_built_garden_city_zone_1-12850831-10605-1.html,House,56500000,565,Bahria Town,Islamabad,Islamabad Capital,33.495254,73.124993,7,For Sale,5,6/3/2019,Amin Son Real Estate,Aurangzeb Khan,70785
21048,12858681,3461,https://www.zameen.com/Property/islamabad_lehtarar_road_10_marla_double_storey_house_for_sale_with_fine_interior_design_and_exterior_structure-12858681-3461-1.html,House,11000000,110,Lehtarar Road,Islamabad,Islamabad Capital,33.639311,73.148646,5,For Sale,6,11/6/2018,,,2722.51
21049,12860952,173,https://www.zameen.com/Property/islamabad_i_10_corner_house_for_sale-12860952-173-1.html,House,18000000,180,I-10,Islamabad,Islamabad Capital,33.648922,73.038969,2,For Sale,4,11/6/2018,,,18240.817
21050,12869528,3197,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_b_one_kanal_house_for_sale_on_prime_location-12869528-3197-1.html,House,39900000,399,DHA Defence,Islamabad,Islamabad Capital,33.533668,73.146286,5,For Sale,5,6/20/2019,Al Kareem Properties,IFTIKHAR  ILYAS,5445
21051,12871470,163,https://www.zameen.com/Property/islamabad_f_11_brand_new_house_for_sale-12871470-163-1.html,House,105000000,1050,F-11,Islamabad,Islamabad Capital,33.683532,72.99041,7,For Sale,6,7/1/2019,Kharian Estate,Yasir Iqbal Butt,5445
21052,12871951,3277,https://www.zameen.com/Property/f_10_f_10_2_owners_build_solid_house_for_sale-12871951-3277-1.html,House,90000000,900,F-10,Islamabad,Islamabad Capital,33.691781,73.000288,5,For Sale,5,7/1/2019,Kharian Estate,Yasir Iqbal Butt,76230
21053,12874006,616,https://www.zameen.com/Property/islamabad_b_17_newly_built_30x60_house_for_sale-12874006-616-1.html,House,15500000,155,B-17,Islamabad,Islamabad Capital,33.68064,72.822189,6,For Sale,6,11/6/2018,,,2178.008
21055,12874417,12622,https://www.zameen.com/Property/rawal_enclave_rawal_enclave_phase_3_house_5_30_marla__single_storey-12874417-12622-1.html,House,4000000,40,Rawal Enclave,Islamabad,Islamabad Capital,33.673231,73.267731,3,For Sale,2,11/6/2018,,,14429.303
21056,12877098,3278,https://www.zameen.com/Property/f_10_f_10_3_most_beautiful_house_for_sale_measuring_1066_sq_yd_close_end_street-12877098-3278-1.html,House,120000000,1200,F-10,Islamabad,Islamabad Capital,33.695352,73.006983,7,For Sale,7,11/6/2018,Property Panel,Abdul Hameed.,114345
21057,12877493,3278,https://www.zameen.com/Property/f_10_f_10_3_very_beautiful_well_planned_front_back_open_1066_sq_yd_house_for_sale-12877493-3278-1.html,House,150000000,1500,F-10,Islamabad,Islamabad Capital,33.695352,73.006983,8,For Sale,7,11/6/2018,Property Panel,Abdul Hameed.,114345
